t,o,c,h,l,v
2010-12-14,2.0193333333333334,1.9020000000000001,2.0259933333333335,1.8507333333333333,1765700.0
2010-12-15,1.9113333333333333,1.9733333333333334,1.998,1.9020000000000001,742900.0
2010-12-16,2.0,2.054,2.0606666666666666,1.9766733333333333,790100.0
2010-12-17,2.0893333333333333,2.0906666666666665,2.1026666666666665,2.0473333333333334,813000.0
2010-12-20,2.1093333333333333,2.1133333333333333,2.146,2.084,523400.0
2010-12-21,2.12,2.1506666666666665,2.179333333333333,2.1140066666666666,777700.0
2010-12-22,2.15,2.1753333333333336,2.1906666666666665,2.1133333333333333,833300.0
2010-12-23,2.084,2.006,2.165333333333333,1.9946666666666668,1552600.0
2010-12-27,1.8679999999999999,1.7032666666666667,1.905333333333333,1.6706666666666665,9301900.0
2010-12-28,1.7233333333333334,1.7606666666666666,1.7833333333333332,1.6666666666666667,4056300.0
2010-12-29,1.802,1.8486666666666667,1.8673333333333335,1.7666666666666666,3319200.0
2010-12-30,1.8466666666666667,1.7666666666666666,1.8599999999999999,1.7586666666666666,2041100.0
2010-12-31,1.7713333333333334,1.7753333333333332,1.8166666666666667,1.7666666666666666,1417900.0
2011-01-03,1.7893333333333332,1.7746666666666668,1.7999933333333333,1.7266666666666666,1283000.0
2011-01-04,1.7773333333333332,1.778,1.7966666666666666,1.7346666666666666,1187400.0
2011-01-05,1.7653333333333334,1.7886666666666666,1.7933333333333332,1.746,1446700.0
2011-01-06,1.7886666666666666,1.8586666666666667,1.8666666666666667,1.7873333333333332,2061200.0
2011-01-07,1.8666666666666667,1.8826666666666665,1.905333333333333,1.8599999999999999,2247900.0
2011-01-10,1.8780000000000001,1.8966666666666667,1.912,1.87,1342700.0
2011-01-11,1.906,1.7973333333333334,1.914,1.7946666666666669,1710200.0
2011-01-12,1.8006666666666666,1.7973333333333334,1.8266,1.768,964400.0
2011-01-13,1.7973333333333334,1.748,1.7979999999999998,1.744,723600.0
2011-01-14,1.7433333333333332,1.7166666666666666,1.7719999999999998,1.7073333333333334,1192000.0
2011-01-18,1.6986666666666668,1.7093333333333334,1.7093333333333334,1.65,1621700.0
2011-01-19,1.6846666666666665,1.602,1.698,1.5833333333333333,2371500.0
2011-01-20,1.602,1.508,1.63,1.4913333333333334,2279900.0
2011-01-21,1.5413333333333334,1.536,1.5726666666666667,1.514,1217000.0
2011-01-24,1.5686666666666667,1.6326666666666665,1.654,1.5486666666666666,1645100.0
2011-01-25,1.6433333333333333,1.6453333333333333,1.6593333333333333,1.6013333333333333,1271500.0
2011-01-26,1.6473333333333333,1.65,1.6586666666666665,1.6066666666666667,1079900.0
2011-01-27,1.649333333333333,1.6613333333333336,1.672,1.6353333333333333,895700.0
2011-01-28,1.6586666666666665,1.6006666666666667,1.6586666666666665,1.5833333333333333,1048400.0
2011-01-31,1.6033333333333333,1.6066666666666667,1.608,1.5666666666666667,830300.0
2011-02-01,1.6206666666666665,1.594,1.6486666666666667,1.5693333333333332,707800.0
2011-02-02,1.6106666666666667,1.596,1.6119999999999999,1.5779333333333334,569500.0
2011-02-03,1.588,1.5753333333333333,1.5933333333333333,1.5433333333333332,512000.0
2011-02-04,1.5626666666666666,1.564,1.578,1.5479999999999998,544000.0
2011-02-07,1.5506666666666669,1.538,1.5506666666666669,1.5253333333333332,895100.0
2011-02-08,1.5853333333333335,1.6326666666666665,1.6833333333333333,1.5333333333333332,3504900.0
2011-02-09,1.6086666666666665,1.5473333333333334,1.6119999999999999,1.5193333333333332,2635600.0
2011-02-10,1.5506666666666669,1.5476666666666667,1.576,1.5206666666666666,836100.0
2011-02-11,1.55,1.55,1.5833333333333333,1.5293333333333334,634500.0
2011-02-14,1.576,1.5386666666666666,1.6093333333333333,1.5366666666666666,1283100.0
2011-02-15,1.534,1.5226666666666666,1.5446666666666669,1.504,953700.0
2011-02-16,1.54,1.6486666666666667,1.6646666666666665,1.5380066666666667,4115100.0
2011-02-17,1.642,1.5733333333333335,1.6993333333333331,1.57,2618400.0
2011-02-18,1.5553333333333332,1.5453333333333332,1.5659999999999998,1.5306666666666666,2370700.0
2011-02-22,1.5253333333333332,1.458,1.5333333333333332,1.452,2064600.0
2011-02-23,1.4786666666666666,1.4553333333333331,1.5,1.4073333333333333,1605600.0
2011-02-24,1.452,1.502,1.5053333333333332,1.4333333333333333,1055300.0
